Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Brighton East,50 Union St,4,h,1776000,S,Woodards,9/12/2017,10.3,3187,4,2,2,623,,,Bayside City Council,-37.90835,145.01392,Southern Metropolitan,6938
Bayswater,14 Fallons Wy,3,h,910000,S,Noel,6/1/2018,23.2,3153,3,3,4,1028,175,1980,Knox City Council,-37.84034,145.25416,Eastern Metropolitan,5030
Mernda,18 Lupin St,4,h,642500,S,RW,24/02/2018,25.9,3754,4,2,2,460,221,2010,Whittlesea City Council,-37.5912,145.09057,Northern Metropolitan,5812
Bundoora,23 Wisteria Dr,4,h,1253000,S,Ray,12/8/2017,12.1,3083,4,2,2,760,366,2000,Banyule City Council,-37.67935,145.05728,Northern Metropolitan,10175
Keilor East,16 Etka Av,3,h,980000,S,Barry,10/2/2018,11.7,3033,3,1,2,638,,,Brimbank City Council,-37.73587,144.87057,Western Metropolitan,5629
Hampton,36 May St,4,t,2000000,VB,Buxton,23/09/2017,13.8,3188,4,3,2,360,275,2010,Bayside City Council,-37.937,145.01169,Southern Metropolitan,5454
Greenvale,30 Castlehill Av,5,h,820500,S,Stockdale,27/05/2017,20.4,3059,,,,,,,Hume City Council,,,Northern Metropolitan,4864
Prahran,12 Closeburn Av,4,h,2444000,S,Jellis,18/03/2017,4.5,3181,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717
Reservoir,55 Allenby Av,3,h,900000,PI,Ray,17/02/2018,12,3073,3,1,2,906,,,Darebin City Council,-37.70111,145.00461,Northern Metropolitan,21650
Glen Iris,5/1435 High St,2,u,,S,Jellis,11/11/2017,7.3,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Avondale Heights,7 Landau Pl,4,h,990000,S,Moonee,24/09/2016,10.5,3034,,,,,,,Moonee Valley City Council,,,Western Metropolitan,4502
Bentleigh East,77A Orange St,3,t,1280000,SP,Buxton,19/08/2017,13.8,3165,3,2,2,335,239,2013,Glen Eira City Council,-37.91783,145.0816,Southern Metropolitan,10969
Brighton,10A Dawson Av,4,t,3820000,SP,Buxton,28/10/2017,10.5,3186,4,2,2,420,351,2010,Bayside City Council,-37.89238,144.98907,Southern Metropolitan,10579
Frankston North,7 Wirilda Cr,3,h,570000,SP,C21,29/07/2017,36.9,3200,3,1,4,632,104,1960,Frankston City Council,-38.11984,145.16209,Eastern Victoria,2500
Wantirna South,20 Mingana Rd,4,h,1060000,SP,Ray,16/09/2017,14.7,3152,4,2,3,729,173,1970,Knox City Council,-37.85728,145.24839,Eastern Metropolitan,7082
Bentleigh East,1 Sassella St,3,h,1311000,SP,Jellis,26/08/2017,13.8,3165,3,2,3,632,194,1950,Glen Eira City Council,-37.92599,145.07537,Southern Metropolitan,10969
Northcote,215 Clarke St,4,h,3850000,PI,Jellis,30/07/2016,5.5,3070,4,4,8,1390,,1912,Darebin City Council,-37.7767,144.9996,Northern Metropolitan,11364
South Melbourne,114 Palmerston Cr,2,h,1026000,S,hockingstuart,15/10/2016,2.1,3205,,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943
Sunshine,34 Matthews St,3,h,950000,SP,Jas,15/10/2016,12.6,3020,3,1,4,704,,,Brimbank City Council,-37.7933,144.8409,Western Metropolitan,3755
Greensborough,3 Toombarra Pl,3,h,905000,S,Darren,18/11/2017,16.1,3088,3,2,2,820,,,Banyule City Council,-37.698,145.131,Northern Metropolitan,8524
Dandenong,1/73 Clow St,2,u,,SP,McLennan,9/12/2017,24.7,3175,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,10894
Glen Iris,8 Barbara Av,3,h,1950000,S,Jellis,28/08/2016,9.2,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Croydon,2/26 Vernon St,4,h,875000,S,Barry,1/7/2017,23,3136,4,2,2,244,,,Maroondah City Council,-37.80267,145.27569,Eastern Metropolitan,11925
Abbotsford,3 Paterson St,2,h,,S,Biggin,8/7/2017,3,3067,2,1,0,146,83,1910,Yarra City Council,-37.80314,145.00069,Northern Metropolitan,4019
Seddon,15 Pentland Pde,4,h,1201000,S,Village,10/12/2016,6.6,3011,4,2,1,299,158,1910,Maribyrnong City Council,-37.8087,144.8952,Western Metropolitan,2417
Keilor East,4 Bernard Ct,2,h,,S,Barry,18/03/2017,12.8,3033,,,,,,,Brimbank City Council,,,Western Metropolitan,5629
Yallambie,24 Coleen St,4,h,816000,S,Buckingham,3/3/2018,12.7,3085,4,1,2,652,,,Banyule City Council,-37.73126,145.08248,Northern Metropolitan,1369
Toorak,3 Vista Gr,4,h,,S,Marshall,22/08/2016,4.6,3142,,,,,,,Stonnington City Council,-37.8342,145.0078,Southern Metropolitan,7217
Avondale Heights,16 Cortina Pl,4,h,1300000,SP,Nelson,20/05/2017,10.5,3034,4,3,2,656,322,1990,Moonee Valley City Council,-37.7522,144.8659,Western Metropolitan,4502
Mount Waverley,15 Virginia St,3,h,1850000,PI,Jellis,8/7/2017,14.2,3149,3,1,1,717,153,1960,Monash City Council,-37.87754,145.12076,Eastern Metropolitan,13366
Maribyrnong,21/9 Fabian Ct,2,u,530000,S,hockingstuart,27/05/2017,4.3,3032,2,1,1,81,88,1980,Maribyrnong City Council,-37.77323,144.89268,Western Metropolitan,4918
Ringwood East,20A Knaith Rd,3,t,890000,SP,Purplebricks,11/11/2017,21.3,3135,3,2,2,,117,2017,Maroondah City Council,-37.8151,145.2522,Eastern Metropolitan,4407
Canterbury,11 Parlington St,4,h,3250000,VB,Jellis,12/8/2017,8.4,3126,4,2,3,855,,,Boroondara City Council,-37.82024,145.06172,Southern Metropolitan,3265
Dandenong,4 Bess Ct,3,h,620000,PI,McLennan,24/06/2017,24.7,3175,3,1,4,597,,,Greater Dandenong City Council,-37.98265,145.22696,South-Eastern Metropolitan,10894
West Footscray,5/28 Hampton Pde,2,h,415000,S,Sweeney,10/9/2016,8.2,3012,2,1,1,80,64,1980,Maribyrnong City Council,-37.806,144.8674,Western Metropolitan,5058
Oakleigh,36 Westgate St,3,h,1205000,S,buyMyplace,13/05/2017,14,3166,3,2,1,570,,,Monash City Council,-37.9066,145.0869,Southern Metropolitan,3224
Reservoir,2 Carrington Rd,3,h,800000,SP,Fletchers,16/07/2016,11.2,3073,3,2,3,574,159,1955,Darebin City Council,-37.722,144.9922,Northern Metropolitan,21650
Sunshine West,16 Ryder St,3,t,510000,PI,Barry,17/03/2018,10.5,3020,3,1,1,152,105,2013,Brimbank City Council,-37.79057,144.82188,Western Metropolitan,6763
Elsternwick,7/483 Kooyong Rd,1,u,330000,S,Biggin,19/08/2017,7.2,3185,,,,,,,Glen Eira City Council,,,Southern Metropolitan,4898
Mont Albert,3/2 Barloa Rd,2,u,748000,S,Ham,9/12/2017 0:00,10.2,3127,,,,,,,Boroondara City Council,,,Eastern Metropolitan,2079
Port Melbourne,30 Clark St,2,h,,SN,Chisholm,13/05/2017,3.8,3207,2,1,0,165,,,Melbourne City Council,-37.8364,144.9329,Southern Metropolitan,8648
Williamstown,4 Alma Tce,2,h,1115000,S,Williams,6/1/2018 0:00,6.8,3016,2,1,2,380,108,1935,Hobsons Bay City Council,-37.85206,144.89318,Western Metropolitan,6380
Fawkner,41 McBryde St,3,t,543500,S,Stockdale,29/04/2017,12.4,3060,3,3,3,247,103,2011,Hume City Council,-37.7133,144.975,Northern Metropolitan,5070
Collingwood,18 Derby St,2,h,1260000,S,Peter,15/10/2016,1.6,3066,2,1,2,116,,,Yarra City Council,-37.8067,144.984,Northern Metropolitan,4553
Camberwell,25 Fermanagh Rd,4,h,,S,Marshall,27/05/2017,7.7,3124,4,2,3,1136,267,1885,Boroondara City Council,-37.83072,145.06081,Southern Metropolitan,8920
Brighton,12 Cole St,4,h,5500000,S,Marshall,6/1/2018 0:00,10.5,3186,4,4,2,,,,Bayside City Council,-37.89384,144.98711,Southern Metropolitan,10579
Epping,635 Dalton Rd,3,h,570000,SP,Ristic,7/10/2017 0:00,19.6,3076,3,1,2,583,106,1980,Whittlesea City Council,-37.64198,145.03041,Northern Metropolitan,10926
Oakleigh,53 Queens Av,4,h,1310000,SP,Buxton,19/11/2016,14,3166,,,,,,,Monash City Council,,,Southern Metropolitan,3224
Toorak,28 Warra St,4,h,2620000,S,Jellis,18/06/2016,4.6,3142,4,2,2,516,286,1925,Stonnington City Council,-37.8398,145.0305,Southern Metropolitan,7217
Seddon,32 Walter St,4,h,970000,VB,Jas,23/04/2016,6.6,3011,2,2,1,149,127,1920,Maribyrnong City Council,-37.8047,144.8948,Western Metropolitan,2417
Kensington,107/88 Altona St,1,u,360000,VB,Dingle,10/12/2016 0:00,4.2,3031,1,1,1,4267,,,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263
Heidelberg Heights,24 Sackville St,3,h,,PN,Miles,10/12/2016 0:00,10.5,3081,3,2,0,589,167,1960,Banyule City Council,-37.747,145.0482,Eastern Metropolitan,2947
St Kilda,31 Redan St,6,h,,PI,hockingstuart,21/10/2017,5,3182,6,3,4,964,,,Port Phillip City Council,-37.86024,144.99096,Southern Metropolitan,13240
Heidelberg,5/2 Vine St,3,u,588000,S,Miles,10/3/2018 0:00,8.9,3084,3,1,1,809,98,2012,Banyule City Council,-37.75791,145.07229,Eastern Metropolitan,2890
Oakleigh South,72A Axford Cr,2,u,665000,S,Buxton,12/11/2016 0:00,14.7,3167,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3692
Epping,4 Longwood Dr,3,h,557500,SP,Millership,3/9/2017 0:00,19.6,3076,3,1,2,654,,,Whittlesea City Council,-37.63923,145.05306,Northern Metropolitan,10926
Brooklyn,9 Corrigan Av,3,h,,SP,hockingstuart,8/10/2016 0:00,10.9,3012,,,,,,,Brimbank City Council,,,Western Metropolitan,962
Toorak,16 Glyndebourne Av,2,h,1950000,S,Rodney,27/06/2016,4.6,3142,,,,,,,Stonnington City Council,,,Southern Metropolitan,7217
Doncaster East,3/9 Dianne St,3,t,850000,PI,Barry,26/08/2017,14.3,3109,3,2,2,,165,2000,Manningham City Council,-37.79496,145.16394,Eastern Metropolitan,10999
Doreen,50 Warrawong Cct,3,h,,SS,Ray,25/11/2017,25.9,3754,,,,,,,Nillumbik Shire Council,,,Northern Victoria,7254
West Footscray,5/632 Barkly St,3,t,770000,S,Edward,11/11/2017 0:00,6.4,3012,,,,,,,Maribyrnong City Council,,,Western Metropolitan,5058
South Morang,16 Leonie Cl,4,h,652000,SP,Ray,25/11/2017,20.5,3752,4,3,2,326,230,2009,Whittlesea City Council,-37.6489,145.0968,Northern Metropolitan,7969
Blackburn South,38 Lawrence St,3,h,950000,PI,Noel,6/1/2018 0:00,13.4,3130,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,4387
Canterbury,12 Cooba St,6,h,,S,Marshall,27/11/2016,9,3126,6,3,3,637,307,1935,Boroondara City Council,-37.8334,145.0794,Southern Metropolitan,3265
Campbellfield,1/63 Mont Albert Dr,3,h,430000,S,Raine,3/3/2018 0:00,16.6,3061,,,,,,,Hume City Council,,,Northern Metropolitan,1889
Mount Waverley,2/2 Lynden Gr,4,t,1300000,VB,Buxton,3/3/2018 0:00,14.2,3149,,,,,,,Monash City Council,,,Eastern Metropolitan,13366
Brighton,833 Hampton St,4,h,,S,Buxton,12/11/2016 0:00,11.2,3186,,,,,,,Bayside City Council,,,Southern Metropolitan,10579
Clarinda,47 Carbine Av,4,h,878000,SP,Buxton,23/09/2017,17.5,3169,4,2,2,,131,1975,Kingston City Council,-37.94422,145.10488,South-Eastern Metropolitan,2727
Brunswick East,87 Hickford St,3,h,1350000,SP,Jellis,4/3/2017 0:00,4.5,3057,3,1,2,407,,,Moreland City Council,-37.7663,144.9795,Northern Metropolitan,5533
Braybrook,2/8 Burnett Av,3,h,600000,S,Jas,17/09/2016,10.8,3019,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3589
Brighton,34 Moffat St,4,h,2770000,S,Nick,19/08/2017,10.5,3186,4,3,2,560,,,Bayside City Council,-37.92314,144.99777,Southern Metropolitan,10579
Bulleen,11 Carrathool St,3,h,1400000,S,Barry,10/12/2016 0:00,11.8,3105,3,1,3,770,,,Manningham City Council,-37.7644,145.0886,Eastern Metropolitan,4480
Avondale Heights,157 Canning St,3,t,851000,S,Nelson,3/12/2016 0:00,10.5,3034,3,3,1,557,181,2017,Moonee Valley City Council,-37.77,144.8572,Western Metropolitan,4502
Middle Park,98 Harold St,2,h,1630000,SP,Marshall,27/11/2016,4.1,3206,2,1,0,152,113,1915,Port Phillip City Council,-37.8513,144.9586,Southern Metropolitan,2019
Moonee Ponds,3 Hotham St,3,h,1285000,S,Nelson,10/2/2018 0:00,6.2,3039,3,2,1,313,142,1910,Moonee Valley City Council,-37.77078,144.91244,Western Metropolitan,6232
West Footscray,120 Rupert St,4,h,,SN,Village,8/4/2017 0:00,8.2,3012,4,2,2,437,185,1930,Maribyrnong City Council,-37.7981,144.8682,Western Metropolitan,5058
Braybrook,1/18 Showers St,3,t,,SN,Barry,23/09/2017,8.6,3019,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3589
Kensington,10/2 Howlett St,2,u,500000,S,Edward,8/4/2017 0:00,4.2,3031,2,1,1,0,86,2000,Melbourne City Council,-37.7897,144.9228,Northern Metropolitan,5263
Northcote,9 Brooke St,2,h,1255000,S,Ray,18/03/2017,5.5,3070,2,1,2,314,120,,Darebin City Council,-37.7762,145.003,Northern Metropolitan,11364
Dandenong North,90 McFees Rd,3,h,,SP,McLennan,16/09/2017,24.7,3175,3,1,,,,,Greater Dandenong City Council,-37.96419,145.21475,South-Eastern Metropolitan,8322
North Melbourne,8 Haines St,3,h,1340000,S,W.B.,4/3/2017 0:00,2.3,3051,3,1,0,83,129,1980,Melbourne City Council,-37.7987,144.9497,Northern Metropolitan,6821
Tullamarine,35 Finningley Dr,3,h,695000,S,YPA,27/05/2017,12.9,3043,3,1,2,676,121,1980,Brimbank City Council,-37.69636,144.88265,Western Metropolitan,3296
Bentleigh East,2/10 Matthews Rd,2,u,485000,SP,Buxton,22/05/2016,13.9,3165,2,2,2,0,83,2011,Glen Eira City Council,-37.9292,145.0708,Southern Metropolitan,10969
Brunswick East,178 Weston St,2,h,1080000,S,Greg,10/9/2016 0:00,4.5,3057,2,1,0,193,101,1890,Moreland City Council,-37.7765,144.9751,Northern Metropolitan,5533
Heidelberg West,23 Morotai Pde,2,h,520000,VB,Nelson,22/05/2016,9.4,3081,2,1,2,594,,,Banyule City Council,-37.7471,145.0427,Eastern Metropolitan,2674
Hoppers Crossing,4 Gildan Ct,4,h,,SN,Barry,29/07/2017,18.4,3029,4,2,6,1468,206,1998,Wyndham City Council,-37.87618,144.70797,Western Metropolitan,13830
Reservoir,10 Odonnell St,4,h,850000,PI,Stockdale,3/3/2018 0:00,12,3073,,,,,,,Darebin City Council,-37.7066,144.99658,Northern Metropolitan,21650
Hampton,13 Kyarra St,2,h,1960000,S,Charlton,15/07/2017,13.8,3188,2,1,2,697,,,Bayside City Council,-37.94423,145.00844,Southern Metropolitan,5454
Elsternwick,36 Victoria St,4,h,,SP,Biggin,18/11/2017,7.2,3185,4,2,4,991,,,Glen Eira City Council,-37.8883,145.0092,Southern Metropolitan,4898
Surrey Hills,61 Durham Rd,5,h,2100000,VB,Marshall,17/09/2016,11.2,3127,5,4,3,827,,,Boroondara City Council,-37.8323,145.0904,Southern Metropolitan,5457
Kew East,3/33 Woodlands Av,3,t,,SP,Fletchers,28/10/2017,7.3,3102,,,,,,,Boroondara City Council,,,Southern Metropolitan,2671
Oakleigh,2/23 Dalgety St,4,h,615000,S,Ray,18/11/2017,12.3,3166,,,,,,,Monash City Council,,,Southern Metropolitan,3224
Hampton,4/32 Linacre Rd,2,u,750000,PI,hockingstuart,18/06/2016,13.7,3188,2,1,2,153,,1970,Bayside City Council,-37.9429,145.0049,Southern Metropolitan,5454
Thornbury,1/54 Pender St,1,u,415000,S,Harcourts,8/7/2017 0:00,7,3071,1,1,1,0,39,1970,Darebin City Council,-37.75443,145.00919,Northern Metropolitan,8870
Reservoir,2/963 High St,2,u,323000,S,Nelson,16/04/2016,11.2,3073,2,1,1,0,65,1960,Darebin City Council,-37.7093,145.0084,Northern Metropolitan,21650
Prahran,2/6 Lalbert Cr,2,u,,SP,hockingstuart,14/10/2017,4.6,3181,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717
Moonee Ponds,31 Bowen St,2,h,860000,S,Nelson,11/2/2017 0:00,6.9,3039,2,1,1,301,80,1920,Moonee Valley City Council,-37.7695,144.9092,Western Metropolitan,6232
Northcote,3 Atkinson St,3,h,1080000,S,Harrington,28/08/2016,5.5,3070,2,1,1,348,130,1910,Darebin City Council,-37.7799,145.011,Northern Metropolitan,11364
Wallan,146 Windham St,4,h,560000,VB,LJ,17/02/2018,44.2,3756,4,2,2,757,,,Mitchell Shire Council,-37.40744,144.98302,Northern Victoria,3988
Balwyn,24 Bennett St,4,h,2000000,PI,RT,7/5/2016 0:00,9.7,3103,,,,,,,Boroondara City Council,,,Southern Metropolitan,5682
St Albans,2/12 Station Av,2,h,,SN,Ray,3/6/2017 0:00,14,3021,,,,,,,Brimbank City Council,,,Western Metropolitan,14042
Watsonia North,22 Meakin St,3,h,,PI,Nelson,26/08/2017,14.5,3087,3,2,3,,,,Banyule City Council,-37.70186,145.08635,Northern Metropolitan,1442
Cheltenham,178 Charman Rd,3,h,1250000,VB,Buxton,28/10/2017,17.9,3192,3,1,1,604,137,1955,Bayside City Council,-37.97307,145.05446,Southern Metropolitan,9758
Fitzroy North,83 Holden St,3,h,1700000,S,Nelson,17/03/2018,3.6,3068,3,1,0,266,150,1910,Moreland City Council,-37.77931,144.98197,Northern Metropolitan,6244
Plumpton,24 Goulding Dr,3,h,700000,SP,YPA,24/02/2018,23.8,3335,,,,,,,Melton City Council,,,Western Metropolitan,1490
Pascoe Vale,8 Wicklow St,3,h,767000,S,Brad,4/3/2017 0:00,9.9,3044,3,1,1,505,,,Moreland City Council,-37.7187,144.9432,Northern Metropolitan,7485
St Albans,30 Thorndon Dr,3,h,549500,S,YPA,23/09/2017,14,3021,3,1,,546,,,Brimbank City Council,-37.7502,144.80626,Western Metropolitan,14042
Burwood,2/14 Fulton Cr,2,u,,PI,Buxton,16/07/2016,11.7,3125,,,,,,,Monash City Council,,,Southern Metropolitan,5678
Boronia,10 Daffodil Rd,3,h,,SS,Philip,9/9/2017 0:00,25,3155,3,1,2,838,,,Knox City Council,-37.86831,145.29032,Eastern Metropolitan,9704
Reservoir,4/65 Thackeray Rd,2,u,505000,S,RW,29/04/2017,11.2,3073,2,1,1,110,1,1960,Darebin City Council,-37.7216,145.0099,Northern Metropolitan,21650
Toorak,7 Lisbuoy Ct,5,h,,SN,RT,28/10/2017,4.1,3142,5,2,2,725,,,Stonnington City Council,-37.84797,145.01797,Southern Metropolitan,7217
Elwood,6/5 Joyce St,2,u,,PI,hockingstuart,6/1/2018,7.2,3184,,,,,,,Port Phillip City Council,,,Southern Metropolitan,8989
Kensington,10/2 Howlett St,2,u,410000,PI,Rendina,27/06/2016,4.2,3031,2,1,1,0,86,2000,Melbourne City Council,-37.7897,144.9228,Northern Metropolitan,5263
Ascot Vale,43 Archer Av,3,t,950000,S,Nelson,10/2/2018,4.3,3032,3,2,2,184,,,Moonee Valley City Council,-37.7775,144.90708,Western Metropolitan,6567
Brunswick,15/195 Brunswick Rd,2,u,570000,S,Nelson,4/3/2017,5.2,3056,,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Footscray,707/250 Barkly St,2,u,,SN,Barry,26/07/2016,6.4,3011,2,1,1,0,,,Maribyrnong City Council,-37.7992,144.8961,Western Metropolitan,7570
Elsternwick,8 Prentice St,3,h,2100000,VB,Biggin,3/3/2018,7.2,3185,3,2,1,346,180,1890,Glen Eira City Council,-37.88319,145.01142,Southern Metropolitan,4898
West Footscray,8/102 Cross St,2,u,480000,SP,Jas,3/6/2017,6.4,3012,2,1,1,1157,,,Maribyrnong City Council,-37.80029,144.87859,Western Metropolitan,5058
South Yarra,6/176 Walsh St,2,u,680000,S,Jellis,4/3/2017,3.3,3141,2,1,1,0,,,Melbourne City Council,-37.8338,144.9858,Southern Metropolitan,14887
Coburg,45 Portland St,3,h,1000000,VB,Jellis,4/3/2017,7.8,3058,3,2,3,370,110,1920,Darebin City Council,-37.744,144.9501,Northern Metropolitan,11204
Fawkner,8 Baird St,2,h,761000,S,Ray,24/06/2017,13.1,3060,2,1,2,665,30,,Hume City Council,-37.70673,144.97108,Northern Metropolitan,5070
Sunshine,74 Hertford Rd,2,h,965000,S,Barry,26/08/2017,10.5,3020,2,1,1,,,,Brimbank City Council,-37.78227,144.84038,Western Metropolitan,3755
Springvale,15 Phillip Av,3,h,721000,S,Hall,24/06/2017,20.8,3171,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412
Middle Park,150 Page St,3,h,1750000,VB,Greg,27/05/2017,3,3206,3,2,0,138,155,1885,Port Phillip City Council,-37.84962,144.95856,Southern Metropolitan,2019
Glenroy,14 William St,3,h,501000,SP,Raine,28/05/2016,13,3046,3,1,1,348,,,Moreland City Council,-37.7119,144.9111,Northern Metropolitan,8870
Heidelberg Heights,1 Dennis St,3,h,,S,Barry,24/06/2017,8.8,3081,3,1,1,650,,,Banyule City Council,-37.74142,145.05535,Eastern Metropolitan,2947
